# Crop-season phenology phases (NOT AWD flood/dry events). Rule-based; thresholds hand-set on one AOI/season and unvalidated (no ground truth).
sensing_date,image_id,phase,reason,ndvi,ndwi,lswi,clear_pixel_fraction,days_since_prev,gap_before
2026-01-27,20260127T033011_20260127T033940_T48QXJ,flood/puddling,,0.04858462154479304,-0.00474211848061936,0.19375993718045015,0.6079929267501663,,False
2026-03-13,20260313T032529_20260313T033755_T48QXJ,vegetative growth,,0.31344815407609,-0.2651931449736379,0.2941548494367712,0.9994092755324242,45,True
2026-04-07,20260407T032531_20260407T034116_T48QXJ,vegetative growth,,0.4449545772064142,-0.39247412749202626,0.22383909872413088,1.0,25,False
2026-04-12,20260412T032539_20260412T033955_T48QXJ,ambiguous,NDVI declining before any observed peak this run (possible anomaly/cloud contamination),0.30700277658851377,-0.24731604432490842,0.23377615029948906,1.0,5,False
2026-05-27,20260527T032511_20260527T033930_T48QXJ,undetermined,rise side unobserved (45-day gap): peak not confirmable,0.5462459562570279,-0.4962940423667713,0.169621063942014,0.5655982146993869,45,True
2026-06-01,20260601T032529_20260601T033959_T48QXJ,ripening/harvest,,0.48992201003341157,-0.4567466744726722,0.12061227369017405,0.8511050022393478,5,False
2026-06-21,20260621T032509_20260621T033753_T48QXJ,ripening/harvest,,0.2744436926233821,-0.288842216647034,0.1535756678792117,0.9637349230127719,20,False
